Iteration,Best_Length,Current_Length,Tabu_Size
0,26526.47700936103,26526.47700936103,1
1,26311.2826540168,26311.2826540168,2
2,26027.21633846634,26027.21633846634,3
3,25762.52243530504,25762.52243530504,4
4,25554.231025956182,25554.231025956182,5
5,25317.703911963992,25317.703911963992,6
6,25092.56335485729,25092.56335485729,7
7,24890.330599671815,24890.330599671815,8
8,24697.23365669852,24697.23365669852,9
9,24473.570568083593,24473.570568083593,10
10,24220.74300846099,24220.74300846099,11
11,24032.233052490217,24032.233052490217,12
12,23837.29114080512,23837.29114080512,13
13,23615.176865956335,23615.176865956335,14
14,23382.814163273702,23382.814163273702,15
15,23196.847470845503,23196.847470845503,16
16,22990.63984645535,22990.63984645535,17
17,22755.385237324117,22755.385237324117,18
18,22515.28774988121,22515.28774988121,19
19,22319.55031126323,22319.55031126323,19
20,22141.63593464846,22141.63593464846,19
21,21938.560435828855,21938.560435828855,19
22,21755.1945880883,21755.1945880883,19
23,21577.66357824178,21577.66357824178,19
24,21364.07114786849,21364.07114786849,19
25,21148.41779948343,21148.41779948343,19
26,21015.8214825311,21015.8214825311,19
27,20864.79989295436,20864.79989295436,19
28,20695.116455555995,20695.116455555995,19
29,20518.677191362207,20518.677191362207,19
30,20357.6271401521,20357.6271401521,19
31,20216.164926539466,20216.164926539466,19
32,20095.350861836334,20095.350861836334,19
33,19960.159231357982,19960.159231357982,19
34,19802.456797057843,19802.456797057843,19
35,19627.49152685258,19627.49152685258,19
36,19514.367224316557,19514.367224316557,19
37,19363.456760421213,19363.456760421213,19
38,19215.24436936835,19215.24436936835,19
39,19026.956314433028,19026.956314433028,19
40,18889.746305427274,18889.746305427274,19
41,18776.336121235923,18776.336121235923,19
42,18657.183138291348,18657.183138291348,19
43,18503.895803861225,18503.895803861225,19
44,18353.8986354752,18353.8986354752,19
45,18212.17718914271,18212.17718914271,19
46,18110.57362724157,18110.57362724157,19
47,17993.988138628683,17993.988138628683,19
48,17869.849355913615,17869.849355913615,19
49,17783.77994013944,17783.77994013944,19
50,17620.740061766784,17620.740061766784,19
51,17520.486463510286,17520.486463510286,19
52,17385.042993093382,17385.042993093382,19
53,17279.8526317671,17279.8526317671,19
54,17170.61003860551,17170.61003860551,19
55,17079.134879363137,17079.134879363137,19
56,16974.161257621137,16974.161257621137,19
57,16884.359545240324,16884.359545240324,19
58,16818.68038040767,16818.68038040767,19
59,16731.410145869097,16731.410145869097,19
60,16649.10451071851,16649.10451071851,19
61,16579.585718336853,16579.585718336853,19
62,16488.66633510425,16488.66633510425,19
63,16404.87559851357,16404.87559851357,19
64,16329.687162060336,16329.687162060336,19
65,16246.303134747823,16246.303134747823,19
66,16170.89413734022,16170.89413734022,19
67,16098.608503836982,16098.608503836982,19
68,16020.613927278679,16020.613927278679,19
69,15946.759684757344,15946.759684757344,19
70,15847.55879313804,15847.55879313804,19
71,15739.188631465026,15739.188631465026,19
72,15678.838895628553,15678.838895628553,19
73,15609.45262055673,15609.45262055673,19
74,15526.461442286523,15526.461442286523,19
75,15460.32099039002,15460.32099039002,19
76,15377.762526045182,15377.762526045182,19
77,15298.443481926748,15298.443481926748,19
78,15219.199577408492,15219.199577408492,19
79,15152.911957733968,15152.911957733968,19
